Player,Tm,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,Year,Player ID,Cluster,Team Cluster
Bobby Brown,HOU,123,10.8,0.509,0.583,0.033,0,5.3,2.7,17.6,0.4,0,7.6,22.7,0.1,0,0.04,-1.5,-6.1,-7.6,-0.2,2017,Bobby BrownHOU2017.0,1,4
Jaylen Brown,BOS,1341,10.3,0.539,0.319,0.293,3.8,14.4,9.1,7.2,1.3,1.1,12.5,18.1,0.2,1.3,0.053,-3.1,-0.9,-4,-0.7,2017,Jaylen BrownBOS2017.0,1,4
Nicolas Brussino,DAL,521,10.7,0.498,0.674,0.156,5.5,16.2,10.6,13.9,1.7,1.4,14.7,16,0,0.6,0.055,-1.7,0.7,-1,0.1,2017,Nicolas BrussinoDAL2017.0,1,4
Reggie Bullock,DET,467,11.7,0.538,0.57,0.055,2.9,12.4,7.5,8.8,1.9,0.5,7.1,13.4,0.4,0.5,0.101,-0.4,0.5,0.1,0.2,2017,Reggie BullockDET2017.0,1,2
Trey Burke,WAS,703,10.8,0.532,0.275,0.114,1.1,6.4,3.8,20.7,0.8,0.6,15.2,19.6,0.3,0.3,0.036,-2.3,-3.4,-5.7,-0.7,2017,Trey BurkeWAS2017.0,1,1
Alec Burks,UTA,653,11.6,0.501,0.306,0.315,3.1,17.7,10.6,7.5,1.4,0.6,11,22.7,-0.1,0.9,0.056,-3.3,-0.9,-4.2,-0.4,2017,Alec BurksUTA2017.0,1,4
Jimmy Butler,CHI,2809,25.1,0.586,0.198,0.54,4.9,13.2,9,24.8,2.6,0.9,9.3,26.5,10.1,3.8,0.236,5.8,1.1,6.9,6.3,2017,Jimmy ButlerCHI2017.0,8,1
Jose Calderon,LAL,292,9.1,0.508,0.442,0.052,2.9,13.2,7.9,24.7,1.2,0.3,24.8,15.3,-0.1,0.1,0,-3,-2.1,-5.1,-0.2,2017,Jose CalderonLAL2017.0,9,4
Jose Calderon,ATL,247,8.7,0.504,0.526,0.14,3.2,11,7.1,21.6,0.8,0,19.9,13.3,0.1,0.2,0.051,-2.8,-1.4,-4.2,-0.1,2017,Jose CalderonATL2017.0,6,4
Kentavious Caldwell-Pope,DET,2529,12.8,0.519,0.471,0.199,2.3,8.7,5.3,11.2,1.8,0.4,7.9,19.2,2,2.5,0.086,0.9,0,0.9,1.8,2017,Kentavious Caldwell-PopeDET2017.0,0,2
Isaiah Canaan,CHI,592,8.1,0.483,0.543,0.191,1.1,8.1,4.6,9,1.9,0.1,10.1,15.4,0,0.6,0.042,-2.3,-1.1,-3.4,-0.2,2017,Isaiah CanaanCHI2017.0,1,1
Clint Capela,HOU,1551,21.4,0.638,0,0.314,12.5,24.5,18.5,6.7,1.1,4.1,12,19.9,3.8,2.1,0.184,0,0.9,0.9,1.1,2017,Clint CapelaHOU2017.0,2,4
DeMarre Carroll,TOR,1882,11.9,0.53,0.582,0.213,3.8,12.7,8.3,5.7,2.2,1.2,8.2,15.6,1.7,2.1,0.097,0.7,0.4,1,1.4,2017,DeMarre CarrollTOR2017.0,0,4
Vince Carter,MEM,1799,11.7,0.542,0.604,0.235,2.2,12.5,7.2,11.5,1.7,1.9,8.5,14.9,1.9,2.1,0.106,0.1,0.9,1,1.4,2017,Vince CarterMEM2017.0,0,4
Michael Carter-Williams,CHI,846,9.9,0.437,0.209,0.252,3,16.6,9.8,20,2.3,2.2,16.3,20.9,-1,1.3,0.013,-4.1,1.7,-2.4,-0.1,2017,Michael Carter-WilliamsCHI2017.0,9,1
Omri Casspi,SAC,397,11.4,0.511,0.248,0.179,5.9,20.2,13.1,10.1,1.3,0.2,11.9,16.3,0.1,0.3,0.043,-2.5,-0.9,-3.4,-0.1,2017,Omri CasspiSAC2017.0,5,4
Omri Casspi,MIN,222,7.5,0.542,0.263,0.211,3.1,7.5,5.3,6.8,3,0.8,19.4,10.3,0,0.2,0.032,-2.3,0.7,-1.6,0,2017,Omri CasspiMIN2017.0,9,1
Willie Cauley-Stein,SAC,1421,16.3,0.558,0.004,0.314,7,20.4,13.8,9.4,1.9,2.8,11.2,19.7,1.4,1.5,0.1,-2,0.8,-1.2,0.3,2017,Willie Cauley-SteinSAC2017.0,5,4
Tyson Chandler,PHO,1298,16.6,0.703,0,0.544,12.5,33.2,22.6,3.3,1.2,1.5,18.7,11.2,2.7,1.3,0.151,-0.7,0.3,-0.3,0.5,2017,Tyson ChandlerPHO2017.0,3,2
Wilson Chandler,DEN,2197,14.9,0.545,0.347,0.207,5.2,17.8,11.6,9.8,1.1,1.1,10,22,2.4,1.1,0.077,0.5,-1.4,-0.9,0.6,2017,Wilson ChandlerDEN2017.0,1,4
Marquese Chriss,PHO,1743,12.3,0.529,0.354,0.286,5.8,16.1,10.8,5.2,1.8,3.2,13.2,19.7,0.3,1.5,0.05,-1.6,0,-1.6,0.2,2017,Marquese ChrissPHO2017.0,5,2
Rakeem Christmas,IND,219,10.4,0.529,0,0.674,13.5,15.2,14.4,2.5,0.7,2.4,12.5,13.1,0.3,0.2,0.099,-3,-1.2,-4.2,-0.1,2017,Rakeem ChristmasIND2017.0,7,2
Semaj Christon,OKC,973,5.7,0.387,0.283,0.139,2.2,7.8,4.9,18.1,1.4,0.6,15.4,12.2,-0.7,0.8,0.006,-5.1,-1.2,-6.3,-1.1,2017,Semaj ChristonOKC2017.0,6,4
Ian Clark,GSW,1137,13.1,0.575,0.376,0.134,2.3,9,5.8,11.2,1.7,0.6,10.7,19.5,1,1.3,0.099,-0.6,-1.4,-2,0,2017,Ian ClarkGSW2017.0,1,1
Jordan Clarkson,LAL,2397,13.2,0.526,0.332,0.157,2.2,9.3,5.6,14.4,1.8,0.3,12.5,23.3,0.5,0.7,0.024,-0.5,-2.3,-2.7,-0.4,2017,Jordan ClarksonLAL2017.0,1,4
