Player,Tm,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,Year,Player ID,Cluster,Team Cluster
Andrew Bynum,LAL,1446,20,0.598,0,0.428,10.8,20.1,15.6,7.7,0.6,4.8,12.5,20.7,3.2,2.3,0.184,0.2,1.6,1.9,1.4,2009,Andrew BynumLAL2009.0,2,2
Will Bynum,DET,803,17.4,0.52,0.056,0.348,2.8,8.4,5.5,35.3,2.3,0.2,16.2,27.9,0.5,0.8,0.078,0.2,-1.9,-1.7,0.1,2009,Will BynumDET2009.0,9,0
Jose Calderon,TOR,2333,18.8,0.613,0.314,0.239,0.8,8.9,4.9,41,1.7,0.2,16.7,16.9,6.2,1.3,0.154,3.3,-2.4,0.9,1.7,2009,Jose CalderonTOR2009.0,4,0
Marcus Camby,LAC,1925,18.7,0.556,0.008,0.367,9.4,32.7,20.7,10.8,1.4,5.1,13.9,15.8,2.3,2.9,0.129,-2,3.7,1.8,1.8,2009,Marcus CambyLAC2009.0,2,2
Brian Cardinal,MIN,909,8.1,0.515,0.544,0.207,4.8,13.8,9.1,12.3,2.1,1.1,20.7,11.5,0.1,0.7,0.045,-1.8,1,-0.8,0.3,2009,Brian CardinalMIN2009.0,9,2
Rodney Carney,MIN,1199,12.1,0.532,0.534,0.156,3.4,9.1,6.1,3.6,2,1.9,8.7,18.6,0.7,0.8,0.059,-0.2,-1.2,-1.5,0.2,2009,Rodney CarneyMIN2009.0,1,2
Matt Carroll,CHA,475,7,0.475,0.326,0.138,1.3,12.9,7.2,8.4,2.1,0.9,15.1,17.1,-0.5,0.6,0.015,-4.5,0.2,-4.3,-0.3,2009,Matt CarrollCHA2009.0,6,0
Matt Carroll,DAL,141,0.5,0.351,0.242,0.182,1.6,9.7,5.7,2.9,1.1,0.5,16.4,13.9,-0.3,0.1,-0.084,-7.8,-1.2,-9,-0.2,2009,Matt CarrollDAL2009.0,6,0
Anthony Carter,DEN,1787,10.8,0.49,0.228,0.202,2.7,10.4,6.7,29.9,2.7,0.6,26.9,14.3,-0.3,2.1,0.047,-2.2,0.3,-1.8,0.1,2009,Anthony CarterDEN2009.0,9,5
Vince Carter,NJN,2946,19.3,0.545,0.291,0.305,3,13.8,8.3,23.7,1.5,1.1,9.8,26.8,5.7,1.8,0.123,3.5,-0.9,2.5,3.4,2009,Vince CarterNJN2009.0,4,2
Mario Chalmers,MIA,2626,13.3,0.548,0.47,0.292,1.7,8.8,5.2,23.5,3.3,0.2,18.1,16.3,2.1,3.1,0.095,0.4,0.3,0.8,1.8,2009,Mario ChalmersMIA2009.0,0,2
Tyson Chandler,NOH,1445,13.4,0.581,0,0.47,13.7,19.2,16.4,2.4,0.6,3.3,17,13.7,1.7,1.7,0.114,-1.8,0.9,-0.9,0.4,2009,Tyson ChandlerNOH2009.0,3,2
Wilson Chandler,NYK,2735,12.9,0.515,0.298,0.204,3.5,14.7,8.9,9.9,1.3,2,10.8,20.5,1,2.1,0.054,-1.2,0.3,-0.9,0.8,2009,Wilson ChandlerNYK2009.0,1,4
Jarron Collins,UTA,201,5.8,0.502,0,0.314,11.9,10.1,11,4.9,0.5,0.4,18.4,10.9,0.1,0.1,0.047,-2.9,-1,-3.9,-0.1,2009,Jarron CollinsUTA2009.0,7,6
Jason Collins,MIN,422,3.3,0.346,0,0.4,7.5,12.1,9.7,3.7,1.1,2.4,12.7,10.1,-0.4,0.3,-0.018,-5.7,0.9,-4.8,-0.3,2009,Jason CollinsMIN2009.0,7,2
Mardy Collins,LAC,815,9.9,0.481,0.125,0.165,4,10.2,7,19.9,1.9,0.9,18.1,16.4,-0.3,0.4,0.004,-3.3,-0.6,-3.8,-0.4,2009,Mardy CollinsLAC2009.0,9,2
Nick Collison,OKC,1831,14.8,0.599,0.005,0.318,11.2,19.7,15.4,5.8,1.4,2,13,13.5,3,2,0.13,-0.5,1,0.6,1.2,2009,Nick CollisonOKC2009.0,3,3
Mike Conley,MEM,2508,14.3,0.548,0.297,0.27,1.2,12.5,6.8,23.7,1.9,0.3,14.9,17.9,2.7,1.9,0.086,0.5,-0.7,-0.2,1.1,2009,Mike ConleyMEM2009.0,4,3
Brian Cook,ORL,146,7.6,0.495,0.417,0.1,4.8,15.8,10.4,4.7,1.1,0,14.9,23.3,-0.2,0.2,0.019,-4.5,-2,-6.5,-0.2,2009,Brian CookORL2009.0,6,4
Daequan Cook,MIA,1833,10.3,0.512,0.612,0.087,1.2,11.2,6.2,6.2,1.1,0.4,5.9,18.2,0.9,1.3,0.056,-0.7,-2.3,-3,-0.5,2009,Daequan CookMIA2009.0,1,2
Jamal Crawford,NYK,392,15.7,0.571,0.456,0.272,0.5,4.3,2.4,20,1.1,0,12.1,23.9,0.6,0.1,0.083,1.7,-4,-2.3,0,2009,Jamal CrawfordNYK2009.0,1,4
Jamal Crawford,GSW,2087,15,0.541,0.372,0.349,1.1,8.1,4.6,17.8,1.1,0.4,11,22.6,2.7,-0.1,0.061,1.7,-3.2,-1.6,0.2,2009,Jamal CrawfordGSW2009.0,1,2
Javaris Crittenton,WAS,1130,10.3,0.488,0.052,0.3,5.4,11.4,8.3,19.7,1.8,0.4,20.5,15.5,-0.3,0.3,0,-2.6,-1,-3.6,-0.5,2009,Javaris CrittentonWAS2009.0,9,3
Samuel Dalembert,PHI,2036,13.2,0.535,0.005,0.286,12.5,28.9,20.6,1.4,0.9,5.8,19.3,13.6,0.5,3.5,0.095,-4.2,1.7,-2.5,-0.3,2009,Samuel DalembertPHI2009.0,3,3
Erick Dampier,DAL,1836,15.7,0.664,0,0.504,13.6,21.6,17.7,6.1,0.7,3.8,17.8,10.4,3.9,2.3,0.161,0.4,2.5,2.9,2.3,2009,Erick DampierDAL2009.0,3,0
Antonio Daniels,WAS,288,10.8,0.554,0.244,0.733,0,9.2,4.5,23.4,1.3,0,17.9,11.5,0.3,0,0.053,-2.1,-3.1,-5.2,-0.2,2009,Antonio DanielsWAS2009.0,9,3
Antonio Daniels,NOH,733,12.6,0.531,0.257,0.351,0.8,8.2,4.5,28.3,1.4,0.1,18.2,17.7,0.6,0.6,0.074,-2.2,-2.7,-4.9,-0.5,2009,Antonio DanielsNOH2009.0,9,2
Marquis Daniels,IND,1700,12.8,0.491,0.131,0.187,5.1,11,8,10.7,1.8,1.1,11.2,21.5,-0.1,1.4,0.037,-1.6,-0.3,-1.9,0,2009,Marquis DanielsIND2009.0,1,2
Baron Davis,LAC,2248,14.5,0.46,0.342,0.219,2.3,10.2,6.1,38.1,2.5,1.2,15.5,25.2,-0.9,1.5,0.013,0.5,-1,-0.5,0.9,2009,Baron DavisLAC2009.0,9,2
Glen Davis,BOS,1637,10.7,0.502,0.011,0.396,9.4,12.8,11.2,6.5,1.7,0.9,11.8,17.1,1,2.7,0.108,-2.1,1.1,-1,0.4,2009,Glen DavisBOS2009.0,5,0
Paul Davis,LAC,320,10.7,0.474,0.01,0.347,9.8,14.5,12.1,6.1,1.6,0.7,10.3,17.9,0.1,0.2,0.037,-3.9,-1.7,-5.6,-0.3,2009,Paul DavisLAC2009.0,5,2
Ricky Davis,LAC,785,7.1,0.445,0.453,0.147,1.3,7.7,4.4,16.4,1.3,0.5,13,17.4,-0.6,0.2,-0.027,-3.2,-2.5,-5.7,-0.7,2009,Ricky DavisLAC2009.0,6,2
Luol Deng,CHI,1665,14.7,0.511,0.034,0.323,5.5,14.7,10.1,9,1.9,1.1,9.6,20,1.3,1.6,0.085,-1.1,0.3,-0.8,0.5,2009,Luol DengCHI2009.0,5,0
Boris Diaw,PHO,538,12.5,0.6,0.099,0.184,5.4,12.5,9.1,12.1,1,1.2,19.5,15.5,0.5,0.2,0.062,-0.4,-0.4,-0.8,0.2,2009,Boris DiawPHO2009.0,5,5
Boris Diaw,CHA,2216,14.9,0.558,0.225,0.163,5.3,14.1,9.7,23.4,1.2,1.6,18.3,20.8,1.4,2.6,0.086,0.8,1.3,2.1,2.3,2009,Boris DiawCHA2009.0,0,0
Yakhouba Diawara,MIA,851,6.4,0.473,0.751,0.088,3.6,7.9,5.8,4.7,0.8,0.6,6.6,13.3,0.1,0.4,0.029,-2,-2.2,-4.2,-0.5,2009,Yakhouba DiawaraMIA2009.0,1,2
Travis Diener,IND,719,13.7,0.555,0.659,0.084,0.9,12.4,6.6,23.9,1.8,0.5,10.2,12.5,1.3,0.6,0.125,0.8,-1.3,-0.5,0.3,2009,Travis DienerIND2009.0,1,2
Ike Diogu,SAC,142,24.9,0.662,0.036,0.6,11.4,20.7,16,4.1,0.7,0.5,7.9,23.8,0.6,0,0.21,1.8,-5.2,-3.4,-0.1,2009,Ike DioguSAC2009.0,5,2
DeSagana Diop,DAL,452,8.9,0.396,0,0.5,11.5,18.4,15,3.9,1.4,4.1,13.5,8.3,0.1,0.6,0.07,-3.8,3,-0.8,0.1,2009,DeSagana DiopDAL2009.0,7,0
DeSagana Diop,CHA,584,10.3,0.441,0,0.327,14.7,18.1,16.4,5.2,1.6,4.4,17.8,12.7,-0.2,1,0.06,-4,3,-1,0.1,2009,DeSagana DiopCHA2009.0,7,0
Juan Dixon,WAS,816,9.3,0.478,0.293,0.152,1.1,8.7,4.8,22.7,2.3,0.6,20.4,19.1,-0.8,0.2,-0.031,-3.2,-2.4,-5.6,-0.8,2009,Juan DixonWAS2009.0,9,3
Keyon Dooling,NJN,2074,13.6,0.562,0.393,0.258,1.4,7.6,4.5,21.3,1.8,0.3,13.6,17.4,2.8,0.9,0.085,0.8,-1.9,-1.1,0.4,2009,Keyon DoolingNJN2009.0,1,2
Quincy Douby,SAC,227,8,0.444,0.42,0.17,1.5,11.4,6.4,9.3,0.4,1.6,6,19.9,-0.1,0,-0.024,-3.5,-4,-7.6,-0.3,2009,Quincy DoubySAC2009.0,6,2
Chris Douglas-Roberts,NJN,585,12.2,0.531,0.068,0.352,2.8,7.4,5.1,14.8,1.1,1,13.2,18.7,0.4,0.2,0.046,-2.7,-2.3,-5,-0.4,2009,Chris Douglas-RobertsNJN2009.0,1,2
Goran Dragic,PHO,728,9.8,0.487,0.241,0.29,5.5,10.8,8.3,20.8,2,0.3,22.4,19.7,-0.3,0.4,0.005,-2.1,-1.2,-3.3,-0.2,2009,Goran DragicPHO2009.0,9,5
Jared Dudley,CHA,427,10.6,0.507,0.083,0.25,7.3,9.8,8.6,7.3,2.3,0.4,8.6,12.9,0.3,0.5,0.094,-1.6,1,-0.6,0.1,2009,Jared DudleyCHA2009.0,0,0
Jared Dudley,PHO,728,15.2,0.588,0.349,0.429,9.5,13.7,11.7,7,2.7,0.6,12.8,15.6,1.3,0.6,0.126,1.9,-0.3,1.6,0.7,2009,Jared DudleyPHO2009.0,0,5
Chris Duhon,NYK,2906,12.2,0.569,0.477,0.307,1.6,7.8,4.6,27.9,1.2,0.2,22.2,14.9,3.1,1,0.069,0.1,-1.5,-1.4,0.4,2009,Chris DuhonNYK2009.0,9,4
Tim Duncan,SAS,2524,24.4,0.549,0.002,0.436,9.6,27.9,18.9,19.3,0.8,3.7,11.1,28.5,5,5,0.191,1.1,3.5,4.6,4.2,2009,Tim DuncanSAS2009.0,2,2
Mike Dunleavy,IND,495,14.4,0.52,0.388,0.28,3.1,12.1,7.6,14.2,1.2,1.3,12.7,26.3,0.1,0.4,0.048,-0.1,-2,-2.1,0,2009,Mike DunleavyIND2009.0,1,2
Kevin Durant,OKC,2885,20.8,0.577,0.165,0.377,3,16.4,9.6,13.5,1.7,1.4,12.2,28.3,5.2,2.7,0.132,2.2,-0.5,1.8,2.8,2009,Kevin DurantOKC2009.0,4,3
Monta Ellis,GSW,892,14.5,0.503,0.06,0.219,1.7,11.5,6.6,17.5,2.1,0.6,12.4,25.8,-0.1,0.3,0.012,-1.5,-1.8,-3.3,-0.3,2009,Monta EllisGSW2009.0,9,2
Francisco Elson,MIL,977,10.3,0.537,0.024,0.231,11.6,16.3,13.8,4.8,1.9,3.1,20.5,10.8,0.5,1.3,0.089,-2.5,2.7,0.1,0.5,2009,Francisco ElsonMIL2009.0,3,0
Melvin Ely,NOH,373,6,0.438,0,0.379,9.7,11,10.4,7.6,0.3,2,17.2,17.3,-0.3,0.3,-0.008,-5.6,-0.7,-6.2,-0.4,2009,Melvin ElyNOH2009.0,7,2
Maurice Evans,ATL,1840,11.1,0.558,0.515,0.151,5.6,9.9,7.7,4.6,1.5,0.4,7.7,14.2,2.3,1.5,0.099,0.5,-1,-0.5,0.7,2009,Maurice EvansATL2009.0,1,2
Reggie Evans,PHI,1137,10.4,0.514,0.006,0.983,14.1,24,19,3.3,1.9,0.6,21.3,13,0.3,1.6,0.079,-3.3,0.1,-3.1,-0.3,2009,Reggie EvansPHI2009.0,3,3
Jordan Farmar,LAL,1192,9.9,0.466,0.354,0.187,2.1,8.9,5.5,18.6,2.4,0.6,16.3,19.6,-0.7,1.5,0.034,-2.4,-0.5,-2.9,-0.3,2009,Jordan FarmarLAL2009.0,9,2
Raymond Felton,CHA,3086,13.7,0.483,0.191,0.251,2.2,10.2,6.2,31.1,2.2,0.8,15.9,21.9,0.6,3.7,0.066,-0.6,0.5,-0.1,1.4,2009,Raymond FeltonCHA2009.0,9,0
Rudy Fernandez,POR,1993,15.5,0.588,0.632,0.227,2.9,10.1,6.4,12.7,1.9,0.5,11,18.4,4.3,1.8,0.147,3.6,-0.6,3.1,2.5,2009,Rudy FernandezPOR2009.0,4,2
Kyrylo Fesenko,UTA,156,13,0.542,0,0.583,10.7,17.6,14.2,3.9,2.3,7.6,16.6,15.6,0,0.3,0.095,-3.4,3.8,0.4,0.1,2009,Kyrylo FesenkoUTA2009.0,3,6
Michael Finley,SAS,2336,11.4,0.547,0.463,0.09,1.3,12.3,6.9,7.7,0.9,0.5,7.8,16.1,1.6,2.8,0.091,-0.6,0.1,-0.5,0.9,2009,Michael FinleySAS2009.0,1,2
Derek Fisher,LAL,2441,12.1,0.546,0.439,0.189,1.2,7.4,4.4,14.9,2,0.2,8.8,14.7,3.6,2.7,0.123,0.9,-0.3,0.6,1.6,2009,Derek FisherLAL2009.0,0,2
T.J. Ford,IND,2258,16.6,0.533,0.114,0.308,2.9,9.8,6.3,27.6,2,0.5,14.8,23.5,2.6,1.7,0.092,0.7,-0.9,-0.2,1,2009,T.J. FordIND2009.0,4,2
Jeff Foster,IND,1828,13,0.542,0.02,0.414,12.8,17.8,15.3,9.9,1.4,2,17.4,12,2.3,1.9,0.111,-0.5,2.1,1.6,1.7,2009,Jeff FosterIND2009.0,3,2
Randy Foye,MIN,2494,13.7,0.517,0.314,0.277,1.5,8.8,5,20.5,1.5,0.8,12,22.6,2,1.1,0.059,0.9,-1.3,-0.4,1,2009,Randy FoyeMIN2009.0,1,2
Channing Frye,POR,746,10,0.465,0.124,0.135,6.7,16.7,11.6,5.3,1.3,1.7,9.3,19.7,0,0.8,0.054,-3.4,-0.8,-4.3,-0.4,2009,Channing FryePOR2009.0,5,2
Dan Gadzuric,MIL,941,12.2,0.495,0.008,0.279,11.4,21,16,6.5,1.8,3.8,13,15,0.4,1.4,0.094,-3,2.4,-0.6,0.3,2009,Dan GadzuricMIL2009.0,3,0
Danilo Gallinari,NYK,412,13.4,0.621,0.576,0.216,3.3,11.5,7.3,5.5,1.7,0.7,9.9,16,0.7,0.3,0.119,0.7,-1.3,-0.6,0.1,2009,Danilo GallinariNYK2009.0,1,4
Francisco Garcia,SAC,1975,14.1,0.554,0.332,0.268,3.3,9.6,6.4,12.6,2.1,2.5,13.1,19.4,1.7,0.7,0.058,0.3,-0.4,-0.1,0.9,2009,Francisco GarciaSAC2009.0,1,2
Kevin Garnett,BOS,1772,21.2,0.563,0.011,0.178,5.6,26.7,16.6,14.7,1.9,3.1,10.1,23.4,3,4.1,0.193,0.2,3.7,4,2.7,2009,Kevin GarnettBOS2009.0,2,0
Marc Gasol,MEM,2521,16.7,0.59,0.002,0.567,9.6,20,14.7,9.7,1.3,2.9,16.6,18.3,3.7,2.7,0.121,-0.2,1.5,1.2,2.1,2009,Marc GasolMEM2009.0,2,3
Pau Gasol,LAL,2999,22.2,0.617,0.002,0.42,10,19.3,14.7,14.8,0.9,2.1,11.3,20.4,9.8,4.2,0.223,3.3,1.7,5,5.3,2009,Pau GasolLAL2009.0,8,2
Rudy Gay,MEM,2945,15.3,0.528,0.192,0.273,4.5,13.9,9.1,8.7,1.8,1.6,12.6,25.6,0.7,2.6,0.054,-0.7,-0.7,-1.4,0.5,2009,Rudy GayMEM2009.0,5,3
Devean George,DAL,708,7,0.485,0.535,0.155,4.1,8.5,6.3,3,1.7,1.1,10.1,10.9,0.1,0.6,0.042,-2,0.2,-1.8,0,2009,Devean GeorgeDAL2009.0,1,0
Daniel Gibson,CLE,1795,10.1,0.519,0.537,0.163,2.1,7.9,5.1,11.3,1.3,0.7,9.7,16.5,1.5,2.3,0.101,-0.3,-0.4,-0.7,0.6,2009,Daniel GibsonCLE2009.0,1,2
Manu Ginobili,SAS,1181,22.9,0.594,0.426,0.387,2.5,17.3,10,23.1,2.9,1,13.3,27.2,2.7,2.3,0.203,4.2,1.8,6,2.4,2009,Manu GinobiliSAS2009.0,8,2
Ryan Gomes,MIN,2614,12.5,0.518,0.293,0.186,4.6,13.3,8.8,8.7,1.3,0.6,10.8,20.4,1.3,1.3,0.046,-0.3,-0.9,-1.3,0.5,2009,Ryan GomesMIN2009.0,1,2
Drew Gooden,CHI,918,15.3,0.514,0.009,0.276,10.3,22.8,16.6,7.7,1.5,1.1,12.6,21.9,0.6,1.1,0.09,-1.8,-0.3,-2.1,0,2009,Drew GoodenCHI2009.0,5,0
Drew Gooden,SAS,320,18.8,0.55,0.007,0.393,10.6,20.2,15.5,1.7,0.7,0.9,8.6,28.2,0.5,0.5,0.139,-3.3,-4.2,-7.5,-0.4,2009,Drew GoodenSAS2009.0,5,2
Ben Gordon,CHI,2999,17,0.573,0.321,0.29,2,8.8,5.4,15.9,1.2,0.5,11.9,25,5.2,1.7,0.11,2.7,-2.2,0.6,1.9,2009,Ben GordonCHI2009.0,4,0
Eric Gordon,LAC,2677,14.9,0.593,0.374,0.388,1.9,6.9,4.3,13.6,1.5,1,13.5,20.7,3.9,0.7,0.082,1.4,-1.9,-0.4,1.1,2009,Eric GordonLAC2009.0,4,2
Marcin Gortat,ORL,794,17,0.578,0.005,0.241,14,26.3,20.3,2.9,1.2,4.8,10.8,13.5,1.4,1.9,0.202,-2.3,2.9,0.6,0.5,2009,Marcin GortatORL2009.0,3,4
Joey Graham,TOR,1541,11.9,0.542,0.033,0.333,7.3,14.9,11.1,5,1.2,0.6,11.9,18.7,1.1,1.1,0.068,-2.2,-1.3,-3.5,-0.6,2009,Joey GrahamTOR2009.0,5,0
Stephen Graham,IND,684,8.5,0.498,0.258,0.242,3.4,12.2,7.7,7.3,0.7,0.4,13.7,20.9,-0.4,0.4,0.001,-3.8,-2.9,-6.7,-0.8,2009,Stephen GrahamIND2009.0,6,2
Danny Granger,IND,2424,21.8,0.584,0.352,0.36,2.2,13.4,7.7,13.1,1.4,3,10,29.6,5.6,2.4,0.158,3.8,-0.9,2.9,3,2009,Danny GrangerIND2009.0,4,2
Aaron Gray,CHI,715,11.5,0.508,0.006,0.353,13.5,21.7,17.6,9.6,1,1.8,17.2,14.5,0.5,0.8,0.086,-2.1,0.6,-1.5,0.1,2009,Aaron GrayCHI2009.0,7,0
Gerald Green,DAL,376,11.4,0.513,0.256,0.178,4.3,12.1,8.2,6.9,1.4,1,14.5,27.7,-0.3,0.3,-0.002,-3.4,-3,-6.4,-0.4,2009,Gerald GreenDAL2009.0,6,0
Jeff Green,OKC,2873,13.9,0.536,0.231,0.287,4.7,16.3,10.4,9.1,1.4,0.8,12.6,21.2,1.8,2.4,0.07,-0.5,-0.4,-0.8,0.8,2009,Jeff GreenOKC2009.0,5,3
Willie Green,PHI,1828,11.1,0.493,0.245,0.129,1.9,6.4,4.1,14.4,1.5,0.6,8.4,18.9,1.1,1.2,0.06,-0.9,-1.7,-2.7,-0.3,2009,Willie GreenPHI2009.0,1,3
Donte Greene,SAC,725,5.2,0.416,0.424,0.144,3,10.9,6.9,6.4,1.1,1.4,12.8,17.8,-1.2,0.1,-0.074,-5.1,-2.7,-7.8,-1.1,2009,Donte GreeneSAC2009.0,6,2
Hamed Haddadi,MEM,120,19.7,0.543,0,0.968,16.1,32.2,24,11.1,0.4,8.1,16.9,20.7,0.2,0.2,0.142,-2.6,2.7,0.1,0.1,2009,Hamed HaddadiMEM2009.0,3,3
Malik Hairston,SAS,155,12,0.48,0.02,0.143,8.6,12.9,10.8,13.8,2.1,3.3,18.7,20,-0.1,0.3,0.045,-4.3,2.7,-1.6,0,2009,Malik HairstonSAS2009.0,7,2
Richard Hamilton,DET,2279,16.9,0.529,0.182,0.252,2.3,8.6,5.4,23.9,1,0.1,10.3,27,3.1,1.4,0.095,2.1,-2.2,-0.1,1.1,2009,Richard HamiltonDET2009.0,4,0
Matt Harpring,UTA,693,12.3,0.508,0.008,0.299,8.1,13.1,10.6,6.4,2.2,1,9.6,19.5,0.4,0.8,0.086,-2.4,-0.6,-3,-0.2,2009,Matt HarpringUTA2009.0,5,6
Al Harrington,GSW,166,8.8,0.417,0.4,0.143,6.6,11.8,9.2,8.9,2.1,0,8.6,20.9,-0.2,0.1,-0.03,-1.9,-2.7,-4.6,-0.1,2009,Al HarringtonGSW2009.0,6,2
Al Harrington,NYK,2380,16.4,0.555,0.387,0.25,4,16.1,9.8,6.6,1.7,0.7,10.8,26,2.1,1.9,0.08,0.7,-1.6,-0.8,0.7,2009,Al HarringtonNYK2009.0,1,4
Devin Harris,NJN,2494,21.6,0.563,0.212,0.582,1.4,9.7,5.5,34.4,2.4,0.4,14,28.4,5.9,1.7,0.145,3.9,-1.5,2.5,2.8,2009,Devin HarrisNJN2009.0,4,2
Jason Hart,LAC,312,6.1,0.352,0.048,0.226,4.3,11.4,7.8,20.8,2,0.9,17.1,16.3,-0.6,0.2,-0.058,-6.4,-0.6,-7,-0.4,2009,Jason HartLAC2009.0,6,2
Udonis Haslem,MIA,2560,13.1,0.553,0,0.264,7.8,21.2,14.4,5.3,0.9,0.8,10.3,14.7,3,2.6,0.106,-2,0.2,-1.8,0.2,2009,Udonis HaslemMIA2009.0,5,2
Trenton Hassell,NJN,1094,7.2,0.48,0.042,0.131,5.4,10.6,7.9,7.1,1,1.2,12.9,9.9,0.2,0.4,0.029,-3.3,0.2,-3,-0.3,2009,Trenton HassellNJN2009.0,6,2
Spencer Hawes,SAC,2259,13,0.509,0.144,0.17,7.6,20.9,14.2,11.3,1,3.1,15.7,20.2,-0.4,1.2,0.016,-2.4,0.2,-2.1,-0.1,2009,Spencer HawesSAC2009.0,5,2
Chuck Hayes,HOU,858,7.8,0.375,0.035,0.168,10.5,23,17,7,2.1,1.6,17.1,7.9,-0.1,1.7,0.092,-4.1,4.1,0,0.4,2009,Chuck HayesHOU2009.0,7,2
Jarvis Hayes,NJN,1832,10.8,0.537,0.423,0.09,1.7,15.8,8.7,4.9,1.5,0.3,7.6,16.6,1,1.2,0.055,-1.3,-1.6,-2.8,-0.4,2009,Jarvis HayesNJN2009.0,1,2
Brendan Haywood,WAS,175,14.9,0.49,0,0.42,8.5,21.4,14.8,7.3,1.2,7,13.2,17.7,0,0.2,0.041,-3.8,2.1,-1.7,0,2009,Brendan HaywoodWAS2009.0,3,3
Luther Head,HOU,322,9.8,0.491,0.376,0.158,1.1,8.4,4.9,17.4,1,0.2,12.9,17.9,0,0.3,0.058,-2.4,-1.4,-3.8,-0.1,2009,Luther HeadHOU2009.0,1,2
Luther Head,MIA,176,10.2,0.462,0.372,0.186,2,15.1,8.5,19.5,3.3,0.5,16.2,14.8,0,0.3,0.059,-2.9,1.1,-1.7,0,2009,Luther HeadMIA2009.0,9,2
Walter Herrmann,DET,630,11.4,0.514,0.58,0.121,5.2,15.1,10.1,5.6,0.6,0.5,7.2,17.8,0.5,0.5,0.074,-0.6,-2.6,-3.2,-0.2,2009,Walter HerrmannDET2009.0,1,0
Roy Hibbert,IND,1009,16.1,0.51,0,0.35,12.4,14.1,13.3,7.9,1,5.6,10.2,23.3,1,1.2,0.102,-1.9,0.5,-1.3,0.2,2009,Roy HibbertIND2009.0,5,2
J.J. Hickson,CLE,705,12.5,0.548,0,0.345,9.1,18.4,13.9,2.1,1.1,3.4,16.8,18,0.2,1.3,0.101,-4.7,0.2,-4.5,-0.4,2009,J.J. HicksonCLE2009.0,7,2
Nene Hilario,DEN,2510,18.8,0.645,0.007,0.519,8.7,18.7,13.8,7.1,1.9,3.1,14.4,18.1,5.6,3.7,0.177,1.3,2.1,3.4,3.4,2009,Nene HilarioDEN2009.0,2,5
George Hill,SAS,1270,11.6,0.502,0.196,0.392,2.9,11.9,7.4,16.6,1.9,1.2,14.5,19.5,0.2,2,0.08,-2.8,1,-1.8,0.1,2009,George HillSAS2009.0,9,2
Grant Hill,PHO,2445,15.2,0.584,0.102,0.301,3.2,15.7,9.7,11,1.8,1.6,13,17.5,3.5,1.9,0.104,0.3,0.7,1,1.8,2009,Grant HillPHO2009.0,0,5
Kirk Hinrich,CHI,1339,13.9,0.551,0.403,0.205,1.4,9.1,5.3,22.7,2.5,1,16,18.1,1.3,1.3,0.092,0.8,-0.5,0.4,0.8,2009,Kirk HinrichCHI2009.0,0,0
Ryan Hollins,CHA,184,15.3,0.613,0,1.114,12.9,11.4,12.1,3.5,0.9,7.6,16.1,15.9,0.3,0.3,0.158,-1.9,2.4,0.5,0.1,2009,Ryan HollinsCHA2009.0,3,0
Ryan Hollins,DAL,260,11.3,0.537,0,0.559,12,14.9,13.5,1.7,0.8,4.3,16,15.5,0.1,0.3,0.076,-3.7,-0.1,-3.8,-0.1,2009,Ryan HollinsDAL2009.0,7,0
Al Horford,ATL,2242,17,0.565,0.002,0.345,7.6,25,16.3,11.9,1.3,3.3,13.1,16.4,3.3,3.5,0.145,-0.7,3.1,2.3,2.5,2009,Al HorfordATL2009.0,2,2
Eddie House,BOS,1479,15.4,0.592,0.607,0.095,0.9,11.5,6.5,10.3,2.2,0.4,8.6,20.1,2.5,2.4,0.158,2.4,-0.4,2,1.5,2009,Eddie HouseBOS2009.0,0,0
Dwight Howard,ORL,2821,25.4,0.6,0.002,0.867,13.8,29.5,21.8,7.3,1.4,5.9,15.1,26.1,6.2,7.6,0.234,0.1,4.3,4.4,4.6,2009,Dwight HowardORL2009.0,2,4
Josh Howard,DAL,1663,17,0.532,0.215,0.281,4.1,14,9.1,8.6,1.7,1.3,9.2,26.7,1.5,1.7,0.091,0.1,-1,-0.9,0.5,2009,Josh HowardDAL2009.0,5,0
Juwan Howard,CHA,450,10.9,0.535,0,0.234,8,11.7,9.9,9.6,0.7,0.9,14,19.5,0.2,0.4,0.064,-2.9,-1.2,-4.2,-0.2,2009,Juwan HowardCHA2009.0,5,0
Larry Hughes,CHI,792,14.4,0.525,0.331,0.266,0.9,12.7,6.8,11.9,2.3,0.8,9.5,21.4,0.6,0.8,0.088,-0.1,-0.8,-0.9,0.2,2009,Larry HughesCHI2009.0,1,0
Larry Hughes,NYK,687,12.3,0.504,0.365,0.253,1.5,9.1,5.2,13.3,2.6,0.5,11.2,19.7,0.2,0.5,0.049,-1.1,-0.4,-1.4,0.1,2009,Larry HughesNYK2009.0,1,4
Kris Humphries,TOR,265,16.3,0.513,0,0.533,10.7,20.2,15.5,6,1.6,1.8,6.7,20.7,0.4,0.3,0.125,-2,-1.1,-3.1,-0.1,2009,Kris HumphriesTOR2009.0,5,0
